            Australian Bureau of Statistics,I0ut,Commodity,Measure or Industry division (ANZSIC),Unit,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18
Supply,Production of Energy,Uranium,Mining,PJ,4311.00,4497.00,5154.00,4710.00,4480.00,4757.00,4854.00,3319.00,3355.00,3602.00,4209.00,2795.00,3053.00,3603.00,3429.00,3127.00
Supply,Production of Energy,Residuals,Mining,PJ,2.00,3.00,2.00,2.00,2.00,0.00,9.00,7.00,7.00,7.00,5.00,3.00,0.00,2.00,9.00,6.00
Supply,Production of Energy,Black coal,Manufacturing,PJ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Supply,Production of Energy,Brown coal,Manufacturing,PJ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Supply,Production of Energy,Coke,Manufacturing,PJ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Supply,Production of Energy,Coal by-products,Manufacturing,PJ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Supply,Production of Energy,Briquettes,Manufacturing,PJ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Supply,Production of Energy,Natural gas,Manufacturing,PJ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Supply,Production of Energy,LNG,Manufacturing,PJ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Supply,Production of Energy,Crude oil and feedstocks,Manufacturing,PJ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Supply,Production of Energy,Petrol,Manufacturing,PJ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Supply,Production of Energy,Diesel,Manufacturing,PJ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
